pos,neg,komment,result
Батарея))) две симкарты.,"При первом использовании ви-фи у себя дома, он не увидел мою сеть, хотя видел соседскиее))) Как оказалось сеть он видит только с 1 до 11 канала, так что это не проблема, настраиваем роутер на 11 канал, либо правим конфиг в телефоне и он видит все каналы(как сделать в инете есть). Громкость в наушниках тихая, увеличел через инженерное меню. В общем это даже не недостатки)))","Покупкой доволен, звоки, инет(3G, ви-фи) почитать новости и форумы, немного скайп, яркость экрана выставлена на максимум, немного GPS(использую при настройке спутниковых антен), хватает на 2-3 дня. В игры не играю. Телефон пару недель, может аккумулятор ещё раскачается.",Отличный
"Супер телефон. Мой первый сенсорник. Пользуюсь второй месяц. Рад как СЛОН... купил китайскую версию без Ростеста и не жалею... глюков не было замечено. Зарядку держит долго, работает быстро, все супер!",Был тихий звук в наушниках - проблему решил за полчаса...нашел инструкцию в инете.,Всем советую!,Отличный
"Умный коммуникатор! А не крутой новомодный фотоаппарат с функцией «быстренько позвонить, пока не села батарейка».Отличный смартфон для деловых людей и активной работы.- Аккумулятор 4000 мАч - мне важно быть на связи и жить свободно от розетки. В игры не играю (разве что в балду и эрудит), кино не смотрю, пользую рабочий софт: скайп, вайбер, эверноут, календари, интернет-серфинг и т.д. Слушаю аудио книги. Постоянно включен 3G или Wi-Fi.- Внешний вид: при 5 дюймах экрана размер не лопатный, тонкий, качество сборки - прекрасное, в руке лежит хорошо, относительно легкий, элегантный и красивый, все-таки я девушка :)- Камера адекватная (фотик для крутых цифровых фото у меня есть отдельно)- Звук при разговоре нормальной слышимости, а не как в танке: все-таки важно слышать собеседника и быть услышанной в ответ. На придирчивого меломана есть улучшающий качество звука софт.- Цена: за дорогими брендами не гонюсь, умеренная цена – приветствуется. Купила в интернет-магазине одного из операторов сотовой связи с самовывозом, так как у них акция – они еще и 2000 рублей на счет возвращают. Итого, «умный коммуникатор мечты» обошелся в 10000 рублей + 2000 рублей на телефон :) Оригинальный чехол-книжку купила в ближайшем салоне за 1300 рублей: удобно тем, что при открывании чехла телефон включается сам, а не через кнопку, к тому же он очень красивый и солидный :) Качество аппарата в разы превосходит его цену :)В софте – минимум мусора, все настраивается под пользователя. Wi-fi летает. Телефон сразу предложил обновить прошивку до 124 версии. Карта памяти на 32 гига решила вопрос с объемом памяти. Кстати, неплохая гарнитура в комплекте.P.S. На покупке защитной пленки можно сэкономить, стерев белые буквы с заводской пленки жидкостью для снятия лака (без ацетона) :-)","Коротковатый провод подключения к сети, порт зарядки мини-USB закрыт хлипковатой пластиковой крышкой, с ней надо поаккуратнее :-) Внутренняя камера очень слабовата, но для видезвонков в скайпе - вполне достаточно. Внешний динамик средненький по качеству звука. По этим двум моментам надо искать, что подкрутить-подправить.","После того, как украли мой любимый Huawei P1 XL, который работал верой и правдой полтора года, встал актуальный вопрос о покупке нового телефона.Итак, телефон выбирала на Яндекс.маркете по искомым параметрам. Удивило то, что параметр емкости аккумулятора (от 3500 мАч) оставил за бортом большинство моделей известных фирм. Сложилось впечатление, что это маркетинговый ход: производители делают огромную лопату с крутым экраном и аккумом 2300 мАч – для того, чтобы через полгода покупатель пришел за новым телефоном, потому что предыдущий сдох.В реальном тест-драйве были телефоны: -HTC One –красивый, быстрый, но грелся, как печка и умирал прямо в руках (аккум 2300) -Huawei Honor 3 – дешевый пластик корпуса отбил всякое желание, маленький аккум (ок 2200). -Phillips 6610 – тяжелый железный кирпич для мужских рук с мега аккумом 5400 мАч :) Им убить можно – не для девушки. -Phillips 8510 – дешевый пластик корпуса и его скрип отбил всякое желание смотреть дальше. Тупил еще на тест-драйве.В сторону Леново даже не смотрела, начитавшись неоднозначных отзывов. Но неудачный тест-драйв телефонов привел меня снова на Яндекс-маркет. Решила почитать про Леново, сравнить… И вот оно, чудо! Lenovo P780 – удовлетворяет ВСЕМ моим запросам! По отзывам – модель уже не новая, кривости исправлены, есть свежие обновления, продается во всех ведущих салонах связи, евротест. Я отправилась в салон тестить этот телефон и влюбилась в него с первого взгляда :) Тонкий, легкий, в руке лежит прекрасно, при тесте - шустрый, экран хороший-отзывчивый, камера адекватная, звук прекрасный… Что еще надо для счастья?:)Пока пользую недолго, но негатива не выявлено. Если что будет - обязательно допишу :)",Отличный
"Батарея (4000), Надёжность, Качество сборки, 2-SIM","Качество динамики не очень, и слабая вибрация. Странно работает датчик освещения, настроил яркость вручную.","Хорошая лопата для работы и домашнего пользования. Имею две симки(Рабочая и личная) работают отлично.Тока учтите,что из двух симок 3G будет работать на одной симке. Батарея просто супер, при активном пользовании телефона: Яндекс-Навигатор или Навител+Ватсап+интернет+звонки+смс+WI-FI= мне хватает на 1,5-2 дней. А если вообще не пользоваться интернетом и навигатором,то 6-7 дней.Заказывал из Китая филп-кейс оригинал Леново,+ в комплекте защитная плёнка.Телефоном очень доволен.",Хороший
Аккумулятор хорош! Качество фото порадовало. Не тормозит.,"Дорогие и редкие аксесуары. Чехол для смартфона продавался лишь в нескольких компаниях, по цене в 2-2,5 раза дороже чем аналогичные на Яблоко или Самсунг. И это в Санкт-Петербурге.",Пользуюсь почти год. Хорошее качество по адекватной цене.,Отличный
"Большой, качественный экран. Звук громкий, и вполне приятный. Связь отличная! Облочка очень удобная. OTG - приятный бонус.Ну и конечно же АККУМУЛЯТОР - это просто нечто! Его хватает на 3-4 суток, в зависимости от использования.",Примерно один два раза в неделю сам перезагружается сам не знаю почему (минус одна звезда). Могли бы оперативки ещё один гиг добавить.,"Характеристики железа меня устраивают, но они честно говоря чуть выше средних. В итоге, lenovo сотворили очень хороший смартфон, вполне оправдывающий свою цену. Китайские брэнды рулят!",Хороший
бессмертная батарея. доступная цена.,камера средняя. звук не очень. уровень вибрации не регулируется.,в целом аппаратом остался доволен,Отличный
"Аккумулятор-длительность работы без подзарядки! 2 сим карты! Большой экран, металлический корпус, лучший фотоаппарат из двухсимочных! Быстродействие","фотоаппарат недоработан, памяти маловато, нельзя вытащить аккумулятор без отверток","очень доволен, не вижу альтернативы на настоящее время. пару раз зависал но потом благополучно отвисал с помощьюю длительного нажатия на кнопку включения",Отличный
"Удобный интерфейс, качественное изображение картинки,длительное время без подзарядки до 5 дней с пользованием Wi-Fi и прослушивания треков","иногда срабатывает индикатор блокировки при разговоре, тоесть можно ухом нажать что-то не то.","Взял себе и девушке, не пожалел!",Отличный
"цена, емкий аккумулятор, 2 сим карты, поддержка производителя",существенных не имеет,"Пользуюсь аппаратом почти пол года. Первое время были проблемы с перезагрузкой, но все исправилось после того, как удалил антивирус. В игры не играю, а остальные приложения просто летают. Акб держит трое суток в среднем при достаточно интенсивном использовании. Все функции работают исправно. Обещают на него обновление андройд до 4,4. Из недостатка отмечу, что когда держишь его плечем, собеседник вас не слышит почему то.",Отличный
"То, что я искал)","Пока не увидел для себя. Разве что металлическая крышка выглядит тонковато, мне кажется, что если часто менять симки, то может деформироваться и плохо закрываться. Но возможно, это только кажется.","Подробно расписывать не буду, об этом аппарате и так уже много сказано. Скажу только одно, смартфон полностью соответствует моим требованиям: дуалсимность, мощный аккум, не плохие экран, звук и камера и, не в последнюю очередь дизайн и материалы. Порадовала толщина аппарата, тонкий, но в меру, идеально для меня. Хотел телефон с экраном на 4,7'', но как оказалось к 5"" привык довольно быстро. Все кнопки и разъёмы расположены удобно, но кнопку питания можно было бы расположить и сбоку, я то и так достаю, но кажется было бы немного удобней. Подумав, можно было бы поставить за качество исполнения, адекватность цены и удобство по четвёрочке, но это, если подходить к оценке исходя из общих требований, но для меня важны конкретные особенности и поэтому- 5.",Отличный
"Аккумулятор, экран, корпус","Звук, наушники","Юзаю недавно, ну про плюсы уже все рассказали, добавлю только - при просмотре фильмов очень хорошая цветопередача, нет никаких тормозов, хорошая четкость. По звуку, тут отдельно - встроенный проигрыватель - гогно, с низким уровнем громкости, но ставишь poweramp и все лечится, наушники - скорее всего сопротивление 32 ома + низкая чувствительность, ниже сотки точно. Купил гарнитуру косс - звук расцвел. По софту вопросов нет вообще, понравилось приложение для аккумулятора, в итоге реально посмотреть 9 часов видео при средней яркости, ну какой ещё смарт хотя бы половину этого выдержит",Хороший
"Батарея! Это конечно бомба, по сравнению с остальным миром смартфонов. 4 дня при частой работе с Вай-фай и игрушках ""на дорогу"" - впечатлило. Одно это достоинство запросто покрывает все мелкие недостатки. Качество сборки - отличное. Ничего не люфтит и не скрипит. Большой экран Цветопередача на уровне","Размер. Это и радость и печалька. В одной руке рабочая поверхность не покрывается большим пальцем полностью. Полоски по экрану. Не скажу что мешают. Но если бы они не были так заметны - было бы лучше. Перезагружается в кармане джинс. Из за размеров при приседании зажимается кнопка включения в кармане. Результат - перезагрузка. Хардверные клавиши ""меню"", ""домой"" и ""назад"" переодически задеваются рукой. Досадно. ИМХО их в ОС перенести нужно. Как на нексусах. Встроенной памяти маловато. Хотя, компенсированно внешней.","Твердая 4 и плюсик (+). Пять поставлю только когда будут исправлены обозначенные недостатки. Хорошая батарея, не топовый процессор делают эту машинку отличным рабочим инструментом для всех обыденных нужд которые можно запихнуть в смартфон. На камеру мне начхать. Той, что есть для фотозаметок предостаточно. Для фотографирования есть фотоаппарат.",Хороший
"1. Батарея правда самая классная. В бизнес режиме почта и много звонков (без GPS, 2 симки на связи) держит 3-4 дня. 2. Зверская устойчивость к царапинам. Без чехла и пленки 2 месяца в кармане (часто с мелочью и ключами) ни одной царапины (ни на экране ни на корпусе). 3. Высокая скорость работы 4. Спутники вылавливает быстро. 5. Фотки приемлемого качества.",Нет запчастей!!! Стекло экрана не меняется отдельно от дисплея. Цена удовольствия у одних неофициалов с парой недель ожидания детали по маршруту Китай-Нвосибирск-Москва 5000 рублей. У всех остальных неофициалов - 6000 руб. и выше.,"Уронили телефон - покупайте другой. Уронить такую лопату легко. Я уронил, пытаясь одной рукой набрать номер телефона. Кисть руки не маленькая (мой рост 190 см.)",Хороший
"Выносливая батарея, даже при круглосуточно активном WiFi и активного юзания хватает на 4-5 дней. Яркий экран, 2 сим-карты, быстрый, не глючит, камера вполне хорошая. Яркий фонарик, после Prestigio чувствуется разница.","Изначально люфтила крышка, подогнул - стало нормально.",В целом покупкой доволен. Свою цену оправдывает полностью.,Отличный
"H+, наушники, батарейка","камера, размер","В этом обзоре буду сравнивать его с p770 Что могу сказать, впечатления не однозначные. Понравилось: Ещё более удобное управление симками. Экран на улице выглядит гораздо лучше, чем p770. Тоньше. Больше памяти. Наконец то, появился стандарт H+, как следствие, инет подтянулся до 8-9 мегабит. Лучше ловит wifi, и сотовый сигнал, прям удивился. не ожидал. Качество звука в плеере стало лучше. Наушники прекрасные.Минусы. Ну камера, как была фигней, так фигней и осталась, даром ещё 3 мегапикселя добавили. Размер, 5 дюймов таки перебор, особенно с толстыми рамками вокруг экрана. Настройка экрана просто ужас, красный цвет почти малиновый. Убрали меню, где можно было проги принудительно закрыть. Микросим пристроить на месте обычной симки, как я это делал за 10 секунд в p770 не получается. Вчера минут пять подгонял, чтобы телефон симку увидел. Наушники не подходят для старого телефона и для других телефонов, хотя от ноутбука работают.В общем, я доволен, а ещё больше довольна тёща, заполучив мой старый телефонЕсли кому то хочется сменить старый на новый, ответственно заявляю, толка особого нет, если только вы не игроман.UPD спустя два месяца. К экрану привык, его достоинство (яркость) перекрывает недостатки (неправильные цвета). Камера тоже в итоге оказалась не так плоха, как показалось вначале. Во всяком случае однозначно лучше, чем в p770. А видео он снимает и вовсе чудесно. А теперь о грустном. Некоторые проги могут не идти. Вылетают при загрузке и всё. Мини опера может показывать черный экран, пока её не закроешь принудительно. У друга на таком же телефоне внезапно перестал коннектиться к интернету плэй маркет. Даже хард ресет не помогает. Так что, текущая прошивка недопиленная, вроде есть 123я прошивка, но ставить боязно. Такие дела.",Отличный
"- батарейка - дизайн (никогда не думал что напишу такое, но ,смотря завалившие рынок обмылки....) - экран - стабильность работы - учитывая что аппарат весьма тяжёлый порадовали бока, при надобности можно зажать и никуда он не денется.","- хотелось бы аппарат полегче,но не критично","Первый большой аппарат, до этого воспринимал лопаты с ужасом, но бывший мой двухсимочник htc достал вечно садящейся батареей, ну и решил попробовать, понял почему не нравились лопаты раньше, но это отдельная история. Да и не смотрите что это китаец, конкретно lenovo качество не уступит гнусмасу, как по мне так и превзойдёт. ЗЫ трубка в пользовании 3 недели.",Отличный
Одни только плюсы. Батарейка -сила.,Затычка на разъёме плохо держится. Закрывая чехол постоянно открывается.,Отличный телефон.не в чем не разочаровался.,Отличный
"качество сборки, шустрый проц, gps","не самый яркий экран, видны засветки по краям","Девайс отлично собран, удобно лежит в руке, ребра такие, что можно ставить на стол (несомненный плюс, хотя кому-то не нравится их эргономика). Радиомодуль по умолчанию терял сеть, пришлось менять (заняло минут 10, включая получение рута, который ставится без шаманства). Слабо ловил wifi и отрубался в спящем режиме - но это оказалась глубоко закопанная настройка wlan.Очень удобно работать с документами, в интернете. GPS ловит очень быстро (есть с чем сравнивать). Батарея монстр, хотя жалко, что несъемная (если затопишь, сложнее реанимировать). Раздражают разве что навязчивые настройки экономии энергии, проставленные по умолчанию.",Отличный
"Батарея, Экран, Андроид, очень хорошо собран - собственно о плюсах много написано.","2Гб системной памяти очень быстро заполнилась. При установленном ""крыже"" по умолчанию ставить приложения на карту памяти - приложения все равно используют системную. Можно потом вручную указать размещение ""карта памяти"" - при этом освобождается системная память частично, и основная ""масса приложения уходит на карту памяти. В целом у меня сейчас свободно около 300 метров из 2Гб... Вроде резерв есть, но как то маловато будет. При этом все гугловские приложения используют только системную память. На карту памяти вообще не переносятся. НезачОт за это Гуглу (особенно за гугл+). Крышка на разъеме подзарядки. Каждый раз ее сковыривать. Надо видимо набраться смелости и оторвать ее вообще. У меня на телефоне возникают проблемы, связанные с сохранением номера. Например добавляю контакт из WhatsApp - при попытке сохранить выдает ошибку ""Неправильно задан номер"" - нужно убрать все пробелы, все тире, тогда сохранит. Возможно это связано с встроенным менеджером контактной книги, но ставить сторонний не хочется, боюсь что не будет работать корректно с двумя симками. (возможно зря боюсь). При экспорте из гугл контакт - ошибок не было, звонит нормально. Но при попытке внести изменения в существующий контакт - так же требует ""перебить"" все номера. Не работают толком напоминалки о днях рождениях. Похоже это андроидовская фишка. Установленная отдельная напоминалка выводит визуально на экран ""звездочку"", но звукового оповещения нет. Размер - все таки великоват. Вот когда в инете сидишь - то классно. А когда его таскаешь - то крупноват он все таки...","В целом очень доволен телефоном. Заказывал из Китая через Али-Бабу. Цена телефона с доставкой 7500 ожидание 35 дней. За такие деньги, такое качество... это просто сказка. Как вижу ошибся с моделью. Отзыв к модели с 4 Гб на борту. у 8 ГБ - 4 Гб системной памяти.",Отличный
очень хороший экран!!! под любым углом четкое изображение. ШИКАРНЫЙ аккумулятор!!! превосходный солидный дизайн. реально работающий компас!! мощный фонарик.,без чехла скользкий корпус.не удобное расположение входа для зарядки.,телефон за два месяца только радует!! в самый раз для тех кто любит солидный дизайн и функционал,Отличный
"Батарея, Экран, Корпус","Несветосильная оптика камеры, слабый модуль WIFI, GPS ловит спутники неохотно.","После Айфона садящегося за 4 часа в 0 доволен безумно. Сразу после покупки, заряженная на 38% батарея продержалась сутки при активном юзаньи. После зарядки 2 дня со всеми включенными сервисами. Итак по делу: 1) Wifi слабый - ойпон ловил роутер по всей квартире, леново отрубается при удалении от точки на 5 метров. 2) Камера днем снимает нормально, но вечером и ночью плохо фокусируется и задирает ISO - отсюда шумы, преимущественно цветные. 3) GPS ловит спутники около минуты (Ойфон несколько секунд) 4) Разъем Микро USB сверху, в автодержателе неудобноВсе минусы перекрывает батарея и цена (брал за 9800руб) Сразу же на ебее заказал родной чехол (400 руб) и автодержатель (200 руб)",Хороший
"Цена, аккумулятор, качество сборки, достойный экран и по яркости и не маркий, шустрый, удобный и симпотичный дизайн, нормальная камера, чувствительный 3G GSM модуль. Сначала жене подорил р770, ей нужен аккумулятор большой, самому понравился и взял р780.","После двух месяцев отвалились модули WIFI и голубого зуба, один не выключается, только поиск и все, постоянно ищет и не находит, а второй просто умер, сбросы и перезагрузки не помогли, гарантийка далеко и отзывы о ней не однозначные, пока не доехал. при переключении энергопрофилей, сносятся и не запоминаются настройки персонализации подсветки, звуков и прочее, немного не удобно особенно учитывая возможность их автопереключений","Если бы не отволились модули ближней связи телефон супер. Если берете версию для Китая, надо перепрошивать GSM модуль, из-за особенностей китайских сетей, наши сети терять начинает, у меня европейская версия, таких проблем не было.",Обычный
"Не раз уже о них писалось, но я быстро повторюсь: 1) Батарея. Автономность в режиме видео\интернет, карты, музыка - 2-3 дня. В сравнении с Galaxy Note 2 - Lenovo переплёвывает его раза в 1.5 2) Корпус. Достаточно сдержанный дизайн, угловат, хорошая подборка материалов. Форма продумана хорошо - в руке сидит удобно, но вот задняя крышка скользкая - можно выронить аппарат 3) Относительная шустрота работы Андроида. На удивление, от такого посредственного железа ожидаешь худшего 4) комплект включает в себя переходник для флешки - очень помогло в дороге, когда можно было смотреть фильмы прямо с 32гб флешки, не приобретая microSD 5) Отличный динамик. Кто-то писал его в минусы - я наоборот прекрасно слышу и слышен сам. Никаких нареканий. 6) Хорошие возможности по настройке, добротный лаунчер впринципе 7) 2 симкарты","1)Цена. Это беда не самого аппарата, а скорее его распространителей. В том же Китае он стоит 7500. Переплачивать почти 5500 за +4гб и значок РСТ - бред. Но я переплатил, так что молчу. 2) Проблемы с перезагрузкой. При первоначальной настройке телефон спустя неделю использования начал перезагружаться по 5-10 раз на дню, иногда в ненужные моменты. Сбросил до заводских настроек - вроде всё адекватно. 3) Камера. Она имеет множество настроек, всяких фильтров и удобное управление. Но не смотря на это всё - фотографирует она убого. Те же Nokia N95 делали куда более качественные снимки. Можно было взять оптику на 5мпкс,но с лучшими характеристиками. 4) слот для зарядки находится сверху, под колпачком. Редко встретишь такое извращение 5) динамик телефона немного ""туповат"". Плохо слышно его+качество звука невыносимо низкое. 6) Матрица хоть и IPS, но углы обзора и цветопередача под углом - далеки от идеальных. Объективно - экран прекрасный, но по меркам современных IPS и SuperAmoled - характеристики печальны. 7) 1 радиомодуль. При принятии звонка на 1 симкарте - вторая падает в оффлайн.","Суммарно, в ценовом диапазоне аппарат находится вне всякой конкуренции. Автономность более 2х дней, 5 дюймов, железный корпус, хороший дизайн и достаточно известный бренд (хоть и в другой среде) - дают ему преимущества среди других ""долгоиграющих китайфонов"". Я о собственной покупке не жалею. Владел и iPhone 5, и SGS IV, SGN II - после таких флагманов, этот аппарат как-то умудряется не выглядеть унылым экскрементом от дочернего предприятия IBM Дополню отзыв с понижением оценки, ибо телефон спустя 2 месяца начал выкидывать фортели с wifi и звуком в наушниках. Сдал по гарантии, месяц ждал ответа, в итоге признали не ремонтопригодным. Сейчас буду ждать возврат денег. Телефон очень понравился ВСЕМ, но качество оставило желать лучшего. Надеюсь, многим повезёт гораздо больше, чем мне.",Обычный
"Плюсов у этой модели много, о них уже ранее писали.","Есть один большой минус. У этих аппаратов часто отваливается связь. То все палки, то ни одной. И так постоянно. Очень не советую, ведь главная функция телефона- звонить периодически недоступна!!!!",,Ужасный
"большой неплохой экран, аккумулятор, внешний вид, скорость работы, качество сборки",динамик. опять же экран. мелкие недочеты,"- самый гланый косяк - это разговорный динамик. собеседника слышно как из унитаза, речь неразборчивая, приходится переспрашивать. не думал, что в телефоне за 12 тысяч может быть такое!- на экране видны небольшие засветы по углам, но они не напрягают. углы обзора тоже не самые лучшие.- камера так себе. к тому же нет аппаратной кнопки, что очень неудобно.- ну и куча мелких глюков, видимо уже софтовых. функция ""уменьшения громкости звонка при извлечении телефона из кармана"" работает с большой задержкой, пропадают иконки с рабочего стола, не запрашивается пин-код симки, отваливается вайфай...в общем, после нокии, я несколько разочарован. можно рекомендовать только из-за аккумулятора и большого экрана. китайцам еще работать и работать.",Обычный
всё устраивает,нет,"Отличный телефон,работает безупречно,пользуюсь 3 года ,не ремонтировался ..",Отличный
"Хороший процессор, отличная камера, много внутренней памяти( у меня 16Гб)","Аккумулятор. прожил ровно два года. После этого, как по команде, емкость стала падать. Теперь хватает максимум на 4 дня. Причем если остается 25%, до падает до 10 % за час. Очень бликует на солнце. Обновлений после 4.2 не ждите. Появились самопроизвольные перезагрузки, в основном при серфинге в инете.","Телефон радовал полтора года, потом- как в пропасть начал падать. Глюки, зависания, разбитое об линолеум(!) стекло- и это, как утверждалось в релизе, Горила Гласс!проблемы с зарядкой- может пролежать и показывать зарядку, а на самом деле не заряжаться, приходится о несколько раз втыкать кабель, короче- 12000, которые за него в свое время отдал, реально жалко. Чувствуется сырость железа, да и само отношение компании Леново- пофигисткое. Вот размышляю- ввалить в него около 5000, сделать апгрейд и продать, или просто выкинуть... Добавляю отзыв. Проблема оказалась не в аккумуляторе, почему-то очень сильно стали ""жрать"" батарею живые обои. Но, с другой стороны, живые обои у меня стояли со дня покупки смартфона и всё было отлично. Короче- как только отключил обои- аккумулятор тут же пришел в себя и опять хватает на 6-7 дней.",Обычный
"Батарея, дизайн, оболочка проста и удобна, батарея и ещё раз батарея в 4000 мАч, такой батарейки нет ни у кого и ещё ни скоро будет, 2сим, возможность подключить флешку, заряжать другие устройства, дисплей отличный. Есть всё ,как и в других смартах.","взял Ростест за 13 тыс, за эти деньги их нет ( если придираться то нет 4G, камера на 8 мп)","использую 2 нед, проблем нет , покупкой доволен",Хороший
Аккумулятор,Лагает неслабо. Бывает виснет и сам по себе перегружается. Как-то выключился и больше не включился. В сервисе сказали весь софт слетел и теперь он пустой))) Пришлось заливать софт заново.,"Можно взять как резервный телефон, но хранить что-то важное на нем не рекомендую, есть риск всё потерять.",Обычный
"Отличная лопата. Емкость аккумулятора в совокупности с энергоэффективностью софта давала до недели работы с интернетами, игрушками и звонками без подзарядки. Отличная камера, лучше еще не встречал - снимки сочные, красочные, без мыла. Видео тоже хорошо получалось, со звуком в хорошем качестве. Качеству связи на достойном уровне.","На модели 8гб в последней прошивке не очень удачно распределена память, из-за чего пропала возможность ставить приложения на sd.","Могучая мобила для мужика. Пользовался полтора года, поменял потому что захотел 4g, nfc и irda.",Отличный
